沪市：
每100美元兑换人民币800.65元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
900921  *ST大盈(行情,论坛)B   0.185   1.481      2.593     3.84  *ST大盈(行情,论坛)   600844 
900922  三毛Ｂ股   0.229   1.833      1.784     3.27  上海三毛(行情,论坛)  600689 
900923  友谊Ｂ股   0.666   5.332      1.527     8.14  友谊股份(行情,论坛)  600827 
900924  上工Ｂ股   0.198   1.585      4.177     6.62  上工申贝(行情,论坛)  600843 
900925  机电Ｂ股   0.48    3.843      1.733     6.66  上海机电(行情,论坛)  600835 
900926  宝信Ｂ     0.629   5.036      2.764    13.92  宝信软件(行情,论坛)  600845 
900927  物贸Ｂ股   0.44    3.523      2.146     7.56  Ｇ物贸    600822 
900928  ST自仪(行情,论坛)Ｂ   0.207   1.657      1.998     3.31  ST自仪(行情,论坛)    600848 
900930  邮通Ｂ股   0.393   3.147      2.247     7.07  上海邮通(行情,论坛)  600680 
900931  PT水仙(行情,论坛)Ｂ   0.176   1.409      3.407     4.8   PT水仙(行情,论坛)    600625 
900932  陆家Ｂ股   0.714   5.717      1.464     8.37  Ｇ陆家嘴  600663 
900933  华新Ｂ股   0.631   5.052      1.138     5.75  Ｇ华新    600801 
900934  锦江Ｂ股   0.888   7.110      1.167     8.3   Ｇ锦江    600754 
900936  鄂绒Ｂ股   0.351   2.810      1.395     3.92  Ｇ鄂绒    600295 
900937  华电Ｂ股   0.279   2.234      1.553     3.47  华电能源(行情,论坛)  600726 
900938  *ST天海(行情,论坛)B(行情,论坛)   0.177   1.417      1.785     2.53  *ST天海(行情,论坛)   600751 
900940  华源Ｂ股   0.19    1.521      1.861     2.83  华源股份(行情,论坛)  600094 
900941  东信Ｂ股   0.263   2.106      1.814     3.82  东方通信(行情,论坛)  600776 
900942  黄山Ｂ股   0.896   7.174      1.281     9.19  Ｇ黄山    600054 
900943  开开Ｂ股   0.245   1.962      1.560     3.06  开开实业(行情,论坛)  600272 
900945  海航Ｂ股   0.327   2.618      0.978     2.56  海南航空(行情,论坛)  600221 
900946  ST轻骑(行情,论坛)Ｂ   0.142   1.137      1.909     2.17  ST轻骑(行情,论坛)    600698 
900947  振华Ｂ股   1.99   15.933      1.039    16.55  Ｇ振华    600320 
900952  锦港Ｂ股   0.374   2.994      1.443     4.32  锦州港(行情,论坛)    600190 
900955  茉织华Ｂ   0.714   5.717      0.766     4.38  Ｇ茉织华  600555 
深市：
每100港币兑换人民币103.29元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (港元)                       (元)                   
200002  万科Ｂ     8.87    9.162      0.756     6.93  Ｇ万科Ａ  000002 
200003  PT金田Ｂ   1.6     1.653      1.639     2.71  PT金田Ａ  000003 
200011  深物业Ｂ   2.92    3.016      0.332     1     深物业Ａ  000011 
200012  南玻Ｂ     4.37    4.514      1.721     7.77  南玻Ａ    000012 
200013  *ST石化B(行情,论坛)   1.47    1.518      1.627     2.47  *ST石化A(行情,论坛)  000013 
200015  PT中浩Ｂ   1.95    2.014      3.401     6.85  PT中浩Ａ  000015 
200016  深康佳Ｂ   2.82    2.913      1.174     3.42  Ｇ康佳Ａ  000016 
200017  *ST中华B(行情,论坛)   0.67    0.692    1844.493   1276.389 *ST中华A(行情,论坛)  000017 
200018  深中冠Ｂ   1.78    1.839      2.708     4.98  深中冠Ａ  000018 
200019  深深宝Ｂ   3.8     3.925      1.694     6.65  深深宝Ａ  000019 
200020  *ST华发B(行情,论坛)   1.33    1.374      2.140     2.94  *ST华发A(行情,论坛)  000020 
200022  深赤湾Ｂ  13.47   13.913      1.138    15.83  深赤湾Ａ  000022 
200024  招商局Ｂ  13.35   13.789      0.941    12.97  Ｇ招商局  000024 
200025  深特力Ｂ   2.3     2.376      1.242     2.95  Ｇ特力Ａ  000025 
200026  飞亚达Ｂ   2.58    2.665      1.760     4.69  飞亚达Ａ  000026 
200028  一致Ｂ     3.94    4.070      1.349     5.49  Ｇ一致    000028 
200029  深深房Ｂ   2.33    2.407      1.587     3.82  Ｇ深深房  000029 
200030  *ST盛润B(行情,论坛)   0.56    0.578      2.474     1.43  *ST盛润A(行情,论坛)  000030 
200037  深南电Ｂ   3.93    4.059      1.185     4.81  Ｇ南电    000037 
200039  中集Ｂ    10.84   11.197      1.093    12.24  中集集团(行情,论坛)  000039 
200045  深纺织Ｂ   2.5     2.582      2.390     6.17  深纺织Ａ  000045 
200055  方大Ｂ     2.39    2.469      1.997     4.93  Ｇ方大Ａ  000055 
200056  深国商Ｂ   2.49    2.572      1.528     3.93  Ｇ深国商  000056 
200058  深赛格(行情,论坛)Ｂ   1.16    1.198      2.179     2.61  深赛格(行情,论坛)    000058 
200413  宝石Ｂ     1.07    1.105      1.810     2     Ｇ宝石    000413 
200418  小天鹅Ｂ   2.43    2.510      1.793     4.5   小天鹅Ａ  000418 
200429  粤高速Ｂ   3.47    3.584      1.141     4.09  Ｇ粤高速  000429 
200488  晨鸣Ｂ     4.26    4.400      1.059     4.66  Ｇ晨鸣    000488 
200505  *ST珠江(行情,论坛)B   0.99    1.023      1.652     1.69  *ST珠江(行情,论坛)   000505 
200513  丽珠Ｂ     3.81    3.935      1.469     5.78  丽珠集团(行情,论坛)  000513 
200521  皖美菱Ｂ   1.54    1.591      1.703     2.71  美菱电器(行情,论坛)  000521 
200530  大冷Ｂ     3.35    3.460      1.156     4     Ｇ大冷    000530 
200539  粤电力Ｂ   4.18    4.318      1.038     4.48  Ｇ粤电力  000539 
200541  粤照明Ｂ   8.8     9.090      1.080     9.82  Ｇ佛照    000541 
200550  江铃Ｂ     5.86    6.053      1.186     7.18  Ｇ江铃    000550 
200553  沙隆达Ｂ   1.62    1.673      1.692     2.83  沙隆达Ａ  000553 
200570  苏常柴Ｂ   2.33    2.407      1.392     3.35  苏常柴Ａ  000570 
200581  苏威孚Ｂ   6.8     7.024      0.861     6.05  Ｇ威孚    000581 
200596  *ST古井B(行情,论坛)   3.14    3.243      1.933     6.27  *ST古井A(行情,论坛)  000596 
200613  *ST东海B(行情,论坛)   0.57    0.589      2.699     1.59  *ST东海A(行情,论坛)  000613 
200625  长安Ｂ     4.66    4.813      1.392     6.7   长安汽车(行情,论坛)  000625 
200725  京东方Ｂ   1.39    1.436      1.915     2.75  Ｇ京东方  000725 
200726  鲁泰Ｂ     7.1     7.334      0.948     6.95  鲁泰Ａ    000726 
200761  本钢板Ｂ   3.56    3.677      1.120     4.12  Ｇ本钢    000761 
200869  张裕Ｂ    26.8    27.682      1.412    39.09  Ｇ张裕    000869 
