名称         债券 发行日期 到期日期 总额     利率   价格     收益率(％)
国债0503     附息 20050426 20100426 333.9    3.30  100.95   3.214   3.073
05国债(4)    附息 20050515 20250515 339.2    4.11  110.67   4.827   3.483
国债0504     附息 20050515 20250515 339.2    4.11  101.98   5.977   4.111
05国债(5)    附息 20050525 20120525 337.8    3.37  106.18   3.033   2.830
国债0505     附息 20050525 20120525 337.8    3.37  105.33   3.209   2.983
05国债(6)    贴现 20050615 20060615 353.8    0.00   99.80   2.032   2.051
国债0506     贴现 20050615 20060615 353.8    0.00   98.62  14.187  15.130
05国债(7)    附息 20050715 20070715 350.8    1.58  100.69   2.104   2.101
国债0507     附息 20050715 20070715 350.8    1.58  100.47   2.297   2.293
05国债(8)    附息 20050815 20080815 324.5    1.93  100.74   2.269   2.235
国债0508     附息 20050815 20080815 324.5    1.93  100.42   2.421   2.382
05国债(13)   附息 20051125 20121125 328.4    3.01  102.93   2.953   2.743
